,parkrun,location,county,first_run,Notes,lat,lon
95,holkham,Holkham,Norfolk,12 Dec 2015,At Holkham Hall passing the estates historic features and starting outside the hall,52.9591025,0.8143613
96,houghtonhall,Houghton Regis,Bedfordshire,23 Dec 2017,At Houghton Hall Park,51.904659,-0.5198277
97,hunstantonpromenade,Hunstanton,Norfolk,5 Oct 2019,The course is run on a mixture of tarmac paths (with the winter course all being on tarmac paths) and grass.,52.9393841,0.4901743
98,huntingdon,Huntingdon,Cambridgeshire,13 Apr 2013,"Two loops of Hinchingbrooke Country Park on a mixture of grass, footpaths and woodland paths",52.3314292,-0.1847723
99,ipswich,Ipswich,Suffolk,8 Sep 2012,The summer course is in Chantry Park and the winter course is in Christchurch Park,52.0579495,1.1526345
100,jerseyfarm,St. Albans,Hertfordshire,10 Nov 2018,"At Jersey Farm Woodland Park, formerly the only Parkrun on the mainland beginning with the letter ""J""",51.753051,-0.3379675
101,kesgrave,Kesgrave,Suffolk,20 Sep 2014,At Millenium Field all on grass,52.0630898,1.2371279
102,kingslynn,King's Lynn,Norfolk,19 Sep 2011,At The Walks entirely on tarmac passing Red Mount Chapel,52.7538673,0.3954774
103,letchworth,Letchworth,Hertfordshire,27 Jan 2018,"At Grange Recreation Ground partly on gravel, grass and bare earth",51.9767243,-0.2305199
104,lingwood,Lingwood,Norfolk,2 Mar 2019,At Lingwood Village Hall,52.6220652,1.4899035
105,littleport,Littleport,Cambridgeshire,23 Jun 2018,At Littleport Leisure Centre,52.4570345,0.3065856
106,lochneatonwatton,Watton,Norfolk,2 Mar 2019,At Loch Neaton and Watton Sports Centre,52.5699185,0.8253494
107,lowestoft,Lowestoft,Suffolk,31 Oct 2015,Along the promenade starting at East Point Pavilion,52.4766308,1.7537638
108,lutonwardown,Luton,Bedfordshire,18 Mar 2015,"Three laps at Wardown Park, starting at the boathouse and around the lake",51.87810155,-0.36642547440865236
109,maldonprom,Maldon,Essex,31 Aug 2013,At Promenade Park starting at the amphitheatre and passing the statue of Byrhtnoth,51.7155563,0.6843547574257541
110,manorfieldwhittlesey,Whittlesey,Cambridgeshire,8 Sep 2018,The grass course is flat and involves one small lap (500m) of a playing field and 3 1500m loops around the perimeter of Manor Park,52.5550114,-0.122643
111,march,March,Cambridgeshire,23 Jan 2016,At West End Park starting at George Campbell Leisure Centre,52.5505996,0.0880189
112,markshallestate,Coggeshall,Essex,13 Nov 2021,"The 2-lap course is run on a combination of grass, gravel paths and permanent paths",51.8818632,0.6818746904247501
113,merseaisland,Mersea Island,Essex,17 Dec 2016,At Cudmore Grove Country Park passing the World War II pillbox,51.79097645,0.9521755709704635
114,mildenhallhub,Mildenhall,Suffolk,25 Jun 2022,"The course is an out & back on paths, followed by 2 laps of the field and an out & back stretch on a multi-terrain of 40% grass, 10% trail and 50% tarmac path",52.3455998,0.5127653
115,millenniumcountry,Marston Moretaine,Bedfordshire,23 Mar 2019,"This is an out and back course, around Stewartby Lake. No dogs allowed",52.0698414,-0.5414541
116,mulbarton,Mulbarton,Norfolk,16 Mar 2013,At Mulbarton Common entirely on grass,52.56047865,1.242307265286421
117,northwalsham,North Walsham,Norfolk,5 Feb 2022,"The course is 2.5 flat, clockwise laps of the school playing field and War Memorial Park and run almost entirely on grass",52.8213308,1.3861979
118,norwich,Norwich,Norfolk,7 Aug 2010,At Eaton Park entirely on hard surfaces,52.6285694,1.2923049
119,panshanger,Welwyn Garden City,Hertfordshire,11 Oct 2014,"New course, One lap of Panshanger Park starting at Panshanger Lane",51.8031083,-0.2068872
120,pocket,St. Neots,Cambridgeshire,16 Jun 2018,At Pocket Park next to the River Great Ouse on a mixture of trail and hard surfaces,52.22758,-0.2703789
121,rendleshamforest,Tangham,Suffolk,26 Feb 2022,A mixed terrain course covering a predominantly one lap route,52.08315105,1.4241311699613848
122,rickmansworth,Rickmansworth,Hertfordshire,4 Mar 2017,Two flat laps of the aquadrome mainly on tarmac with lakes and a cafe for post run coffee,51.6401841,-0.4734045
123,rodingvalley,Loughton,Essex,14 Jan 2017,In Roding Valley Recreation Ground mostly on grass,51.6467058,0.0544098
124,rushmere,Leighton Buzzard,Bedfordshire,7 Nov 2014,"At Rushmere Country Park, a two-lap course through mixed woodlands",51.9165794,-0.6620551
125,sandringham,Sandringham,Norfolk,18 Sep 2021,Two laps on a combination of tarmac and woodland trails through the forest,52.8427652,0.43181369114495116
126,sheringham,Sheringham,Norfolk,3 Nov 2012,A trail run at the National Trust's Sheringham Park with views of the coast and historic parkland,52.9438831,1.21262
127,sizewell,Leiston,Suffolk,25 Aug 2018,Along the coast passed Sizewell nuclear power stations and RSPB Minsmere,52.20648,1.5764329
128,sloughbottompark,Norwich,Norfolk,11 May 2019,"Starting and finishing in Sloughbottom Park, the course is primarily run on Marriot's Way",52.6285694,1.2923049
129,sohamvillagecollege,Soham,Cambridgeshire,23 Nov 2019,"In the grounds of Soham Village College, a mixture of tarmac paths and grass.",52.3333453,0.3387475
130,southoxhey,Watford,Hertfordshire,31 Jan 2015,In South Oxhey Playing Fields entirely on grass,51.6553875,-0.3957425
131,southwoodhamferrers,South Woodham Ferrers,Essex,10 Mar 2018,"In Marsh Farm Country Park on a mixture of concrete paths, trail paths and grass",51.6440357,0.6176655
132,southend,Southend,Essex,13 Oct 2012,In Gunners Park passing various gun emplacements and part of a local nature reserve,51.57036905,0.708620337888284
133,stalbans,St Albans,Hertfordshire,14 Jan 2012,In Verulamium Park on the former Roman city of Verulamium,51.753051,-0.3379675
134,stevenage,"Stevenage,",Hertfordshire,28 May 2016,At Six Hills starting between the two lakes,51.9016663,-0.2027155
135,storeysfield,Cambridge,Cambridgeshire,31 July 2021,"Three laps on permanent paths, taking in the playing fields and part of the Ridgeway on the east side of the Eddington development.",52.2055314,0.1186637
136,swaffham,Swaffham,Norfolk,26 May 2018,On the playing fields at Nicholas Hamond Academy,52.6481171,0.6909259
137,thetford,Thetford,Norfolk,23 Feb 2013,In Abbey Meadows at Thetford priory,52.4156001,0.748712
138,thomasmills,Framlingham,Suffolk,8 June 2019,"Laps of Thomas Missl School playing field and adjoining farmland, trail",52.2220579,1.3415864
139,thurrock,Thurrock,Essex,10 Oct 2015,At Pyramid Centre all on grass,51.4941891,0.2836045001499239
140,tring,Tring,Hertfordshire,1 Nov 2014,This event is no longer active,51.7940357,-0.6609205
141,westmill,Ware,Hertfordshire,22 Jul 2017,At Three Lakes Campsite,51.8103288,-0.0328751
142,wickfordmemorial,Wickford,Essex,29 Feb 2020,"Two and a bit laps, anti-clockwise, scenic, flat course mainly on permanent paths",51.6113905,0.5244419
143,wimpoleestate,Royston,Hertfordshire,12 Jan 2013,A trail run at the National Trust's Wimpole Estate,52.0472741,-0.0246467
144,allypally,Alexandra Park,Haringey,3 Dec 2011,The course has a winter route and a summer route,51.59323835,-0.1278928810702827
145,barking,Barking Park,Barking and Dagenham,28 Jul 2012,"A two lap course held in Barking Park, entirely on tarmac",51.54545555,0.08679520162485879
146,beckenhamplace,Beckenham Place Park,Lewisham,19 Nov 2016,"Held in Beckenham Place Park, the course consists of two clockwise laps on different surfaces",51.41874385,-0.013589755748811362
148,bedfontlakes,Bedfont Lakes Country Park,Hounslow,9 May 2009,A two lap course starting and finishing near the car park,51.44257995,-0.4453288103407338
149,bethlemroyalhospital,Bethlem Royal Hospital,Bromley,25 May 2019,Two anticlockwise laps run entirely on grass. The start is just north of the Bethlem Museum of the Mind,51.38264165,-0.031196944032878877
150,bexley,Danson Park,Bexley,4 Feb 2012,"A two lap course, on a variety of path and woodland surfaces. The route passes in front of Danson House",51.4548647,0.1175736705895949
151,brockwell,Brockwell Park,Lambeth,11 Dec 2010,"A single, anticlockwise lap of Brockwell Park on wide, concrete paths",51.4505301,-0.10609256844186246
152,bromley,Norman Park,Bromley,29 Aug 2009,A two and a third lap course starting near Norman Park Athletics Track,51.39574525,0.021818510739568767
153,burgess,Burgess Park,Southwark,22 Sep 2012,"Starting just off the A215, the course runs into Burgess park, makes a loop around the lake before returning",51.48472435,-0.0805712705281371
154,bushy,Bushy Park,Richmond upon Thames,2 Oct 2004,"A flat, fast 1 lap course run on a mixture of grass, gravel and concrete. The first ever parkrun worldwide",51.416862550000005,-0.33706795679636925
155,canonspark,Canons Park,Harrow,8 Oct 2016,Three anticlockwise laps of Canons Park run on different surfaces,51.6080065,-0.2947453
156,catford,Mountsfield Park,Lewisham,28 Apr 2018,Two clockwise laps and a small loop on different surfaces,51.4474407,-0.009185522133333167
157,charlton,Charlton Park,Greenwich,2 Oct 2021,"Three fast, clockwise loops on predominantly grass, with some tarmac paths",51.480394399999994,0.04377572805296109
158,claphamcommon,Clapham Common,Wandsworth,24 Mar 2018,Two clockwise laps starting just off the A205,51.4583791,-0.14895754056160898
159,crane,Crane Park,Richmond upon Thames,9 Jun 2012,A one and a half lap course along the River Crane,51.4432297,-0.37472777865336426
160,crystalpalace,Crystal Palace Park,Bromley,29 May 2010,A single lap course run on tarmac and gravel paths,51.42141735,-0.0742373917315225
161,dulwich,Dulwich Park,Southwark,14 Apr 2012,Three anti-clockwise laps on tarmac paths,51.445723150000006,-0.07834991797400706
162,finsbury,Finsbury Park,Haringey,31 Oct 2009,Two anti-clockwise laps on tarmac paths,51.5703386,-0.10100029631361893
164,fulhampalace,Bishops Park,Hammersmith and Fulham,19 Oct 2013,A three lap course alongside the River Thames near Craven Cottage.,51.473175,-0.2152334
165,gladstone,Gladstone Park,Brent,30 Jun 2012,Two anti-clockwise laps starting and finishing to the East of the park,51.55774935,-0.23707785983202684
166,greenwich,Avery Hill Park,Greenwich,6 Mar 2010,Finishes outside the Winter Garden,51.4482722,0.07631847485569955
167,grovelands,Grovelands Park,Enfield,24 Jul 2010,Entirely on tarmac and finishes near the boating lake,51.633315350000004,-0.11494118838255232
168,gunnersbury,Gunnersbury Park,Hounslow,29 Oct 2011,"A one-lap loop around Gunnersbury Park, start and finish at northern end of the park.",51.49639725,-0.28994104688921757
169,hackneymarshes,Hackney Marshes,Hackney,29 May 2010,A flat course taking in the River Lea and the Olympic village,51.55649645,-0.029171864933870008
170,hampsteadheath,Hampstead Heath,Camden,14 May 2011,Passes through ancient woodland and Parliament Hill Viewpoint,51.56398185,-0.1671866699284853
171,hanworth,Hanworth Park,Hounslow,4 May 2019,A two lap course starting near Hanworth Park House,51.439328700000004,-0.39695386509900343
172,harrow,Harrow Recreation Ground,Harrow,9 May 2015,At Harrow Recreation Park,51.584688150000005,-0.3457067300125465
173,harrowlodge,Harrow Lodge Park,Havering,12 Jan 2013,"On tarmac paths, trail paths and grass",51.55756545,0.2044187233784709
174,highburyfields,Highbury Fields,Islington,12 Nov 2011,A five lap course,51.5495622,-0.10259636791529265
175,hillyfields,Hilly Fields,Lewisham,8 Sep 2012,On tarmac and grass,51.45973895,-0.02557377312856094
176,hoblingwell,Hoblingwell Wood Recreation Ground,Bromley,15 Jul 2017,"On grass, trail and footpaths around sports-fields and through woods",51.402237150000005,0.09988114162793096
177,kingston,Hawker Centre,Kingston upon Thames,20 Mar 2010,Meeting point at Hawker Centre; the route is an out and back along the Thames towpath.,51.4263203,-0.30791082556718213
178,lloyd,Lloyd Park,Croydon,23 Oct 2010,Follows the perimeter of the games fields and passes a Frisbee golf course,51.3642061,-0.0805814
179,mileend,Mile End Park,Tower Hamlets,4 Feb 2012,"A 2 lap course, all on paths",51.531247500000006,-0.04173988816527164
180,northalafields,Northala Fields,Ealing,21 Jun 2014,The run is at Northala fields and crosses into Rectory Park,51.53969145,-0.3745963854411344
181,oakhill,Oak Hill Park,Barnet,27 Aug 2011,"Two and three quarter laps, all on paths.",51.63827285,-0.1560470839096632
182,olddeerpark,Old Deer Park,Richmond upon Thames,21 Aug 2010,"A three-lap course, almost all on grass",51.46724705,-0.31002930477484103
183,orpington,Goddington Park,Bromley,15 Sep 2012,"Starts in the rugby field, behind the football pavilion. Course is a mixture of grass, asphalt and wooded paths,",51.3671455,0.11443872673165816
184,osterley,Osterley Park,Hounslow,31 Aug 2013,Starts and finishes outside Osterley House; car parking charges are waived for runners,51.489389,-0.35274256163646445
185,peckhamrye,Peckham Rye Park,Southwark,21 Jun 2014,A mostly flat course all on tarmac,51.45646265,-0.060069778647222336
186,pymmes,Pymmes Park,Enfield,9 Apr 2011,"A flat, three lap course",51.6176324,-0.06947278023171205
187,raphael,Raphael Park,Havering,2 May 2015,Run entirely on tarmac,51.5884487,0.18951540566454003
188,richmond,Richmond Park,Richmond upon Thames,20 Oct 2007,The run starts on the Tasmin Trail and is run in Richmond Park,51.438511649999995,-0.2747350347565655
189,riddlesdown,Riddlesdown Common,Croydon,2 Jul 2011,"A cross-country run on grass, gravel and stony paths",51.3279074,-0.0988728
190,roundshawdowns,Roundshaw Downs,Croydon,18 Jul 2009,Around a chalk nature reserve on wide grassy paths with a short section through woods,51.3497013,-0.12259502166586422
191,southnorwood,South Norwood Country Park,Croydon,8 Jul 2017,"The course is run on a mixture of trail paths and grass, starting and finishing at the visitor centre",51.396434299999996,-0.056859001411930885
192,southall,Southall,Ealing,8 Jan 2022,Three laps on the paths around Southall park,51.5060205,-0.3775015
193,southwark,Southwark Park,Southwark,7 Sep 2013,On a mixture of concrete paths and grass starting near the boathouse,51.495165799999995,-0.05635831365282054
194,sunnyhill,Sunny Hill Park,Barnet,30 Mar 2019,"On footpaths until the finish funnel, with some hilly sections and views of Wembley Stadium",51.5956662,-0.2297934176736177
195,sutcliffe,Sutcliffe Park,Greenwich,11 Sep 2021,"Three laps of the park starting at the sport centre, mostly on tarmac with a small grass section.",51.45520745,0.02935811800605883
197,valentines,Valentines Park,Redbridge,19 Feb 2011,On flat tarmac paths starting near the cafe,51.56885695,0.07113179188081206
198,victoriadock,Royal Victoria Dock,Newham,17 Mar 2018,"Two out-and-back laps along the north side of Victoria Dock, starting in The Crystal gardens",51.5066201,0.028419978065496933
199,walthamstow,Peter May Sports Centre,Waltham Forest,26 Jan 2013,A mainly flat and grassy course in the sports grounds,51.6031473,-0.00806354152242355
201,wimbledoncommon,Wimbledon Common,Merton,6 Jan 2007,"The second ever Parkrun, after Bushy Parkrun",51.427074149999996,-0.24419753762388685
202,wormwoodscrubs,Wormwood Scrubs Park,Hammersmith and Fulham,11 Jun 2011,Run on grass in the park (not in the prison),51.5203024,-0.2277841
203,albert,Middlesbrough,North Yorkshire,31 May 2008,"In Grade II listed Albert Park, opened in 1868 and named after Prince Albert",54.4871446,-0.6272301
204,blackhill,Consett,County Durham,13 Jul 2013,Located at Blackhill and Consett Heritage Park,54.8518781,-1.8333741
205,blythlinks,Blyth,Northumberland,20 April 2019,A two and a half lap course on Blyth seafront on tarmac and concrete paths,55.1270903,-1.5099726
